geo,indic_code,indicator,year,value
AD,CNMIGRATRT,Net Migration Rate,2004,53.9
AD,CNMIGRATRT,Net Migration Rate,2005,14.4
AD,CNMIGRATRT,Net Migration Rate,2006,26.2
AD,CNMIGRATRT,Net Migration Rate,2007,16.1
AD,CNMIGRATRT,Net Migration Rate,2008,8.5
AD,CNMIGRATRT,Net Migration Rate,2009,-11.5
AD,CNMIGRATRT,Net Migration Rate,2010,4.1
AD,CNMIGRATRT,Net Migration Rate,2012,-29.8
AD,CNMIGRATRT,Net Migration Rate,2016,14.5
AD,CNMIGRATRT,Net Migration Rate,2018,15.6
AD,CNMIGRATRT,Net Migration Rate,2019,14.7
AD,CNMIGRATRT,Net Migration Rate,2022,23.9
AD,CNMIGRATRT,Net Migration Rate,2023,40.9
AD,DEATH,Deaths,2004,281.0
AD,DEATH,Deaths,2005,276.0
AD,DEATH,Deaths,2006,260.0
AD,DEATH,Deaths,2007,230.0
AD,DEATH,Deaths,2008,237.0
AD,DEATH,Deaths,2009,272.0
AD,DEATH,Deaths,2010,239.0
AD,DEATH,Deaths,2012,303.0
AD,DEATH,Deaths,2016,310.0
AD,DEATH,Deaths,2018,335.0
AD,DEATH,Deaths,2019,301.0
AD,DEATH,Deaths,2021,386.0
AD,DEATH,Deaths,2022,371.0
AD,DEATH,Deaths,2023,357.0
AD,GBIRTHRT,Crude Birth Rate,1986,11.9
AD,GBIRTHRT,Crude Birth Rate,1987,11.0
AD,GBIRTHRT,Crude Birth Rate,1988,11.6
AD,GBIRTHRT,Crude Birth Rate,1989,12.5
AD,GBIRTHRT,Crude Birth Rate,1990,11.9
AD,GBIRTHRT,Crude Birth Rate,1991,11.9
AD,GBIRTHRT,Crude Birth Rate,1992,12.1
AD,GBIRTHRT,Crude Birth Rate,1993,11.4
AD,GBIRTHRT,Crude Birth Rate,1994,10.9
AD,GBIRTHRT,Crude Birth Rate,1995,11.0
AD,GBIRTHRT,Crude Birth Rate,1996,10.9
AD,GBIRTHRT,Crude Birth Rate,1997,11.2
AD,GBIRTHRT,Crude Birth Rate,1998,11.9
AD,GBIRTHRT,Crude Birth Rate,1999,12.6
AD,GBIRTHRT,Crude Birth Rate,2000,11.3
AD,GBIRTHRT,Crude Birth Rate,2001,11.8
AD,GBIRTHRT,Crude Birth Rate,2002,11.2
AD,GBIRTHRT,Crude Birth Rate,2003,10.3
AD,GBIRTHRT,Crude Birth Rate,2004,10.9
AD,GBIRTHRT,Crude Birth Rate,2005,10.7
AD,GBIRTHRT,Crude Birth Rate,2006,10.6
AD,GBIRTHRT,Crude Birth Rate,2007,10.1
AD,GBIRTHRT,Crude Birth Rate,2008,10.4
AD,GBIRTHRT,Crude Birth Rate,2009,9.9
AD,GBIRTHRT,Crude Birth Rate,2010,9.8
AD,GBIRTHRT,Crude Birth Rate,2012,9.5
AD,GBIRTHRT,Crude Birth Rate,2016,8.8
AD,GBIRTHRT,Crude Birth Rate,2018,7.2
AD,GBIRTHRT,Crude Birth Rate,2019,7.0
AD,GBIRTHRT,Crude Birth Rate,2022,6.2
AD,GBIRTHRT,Crude Birth Rate,2023,5.5
AD,GDEATHRT,Crude Death Rate,2004,3.8
AD,GDEATHRT,Crude Death Rate,2005,3.6
AD,GDEATHRT,Crude Death Rate,2006,3.3
AD,GDEATHRT,Crude Death Rate,2007,2.8
AD,GDEATHRT,Crude Death Rate,2008,2.8
AD,GDEATHRT,Crude Death Rate,2009,3.2
AD,GDEATHRT,Crude Death Rate,2010,2.8
AD,GDEATHRT,Crude Death Rate,2012,3.9
AD,GDEATHRT,Crude Death Rate,2016,4.3
AD,GDEATHRT,Crude Death Rate,2018,4.4
AD,GDEATHRT,Crude Death Rate,2019,3.9
AD,GDEATHRT,Crude Death Rate,2022,4.6
